Hannanum,Kkma,Komoran,Mecab,Okt,Twitter
아이폰 / N,아이 / NNG,아이폰 / NNP,아이폰 / NNP,아이폰 / Noun,아이폰 / Noun
기다리 / P,폰 / NNG,기다리 / VV,기다리 / VV,기다리다 / Verb,기다리다 / Verb
다 / E,기다리 / VV,다 / EC,다 / EC,지쳐 / Verb,지쳐 / Verb
지치 / P,다 / ECS,지치 / VV,지쳐 / VV+EC,애플 / Noun,애플 / Noun
어 / E,지치 / VV,어 / EC,애플 / NNP,공홈 / Noun,공홈 / Noun
애플공홈 / N,어 / ECS,애플 / NNP,공홈 / NNG,에서 / Josa,에서 / Josa
에서 / J,애플 / NNP,공 / NNP,에서 / JKB,언 / Modifier,언 / Modifier
언락폰질러버렸다 / N,공 / NNG,홈 / NNG,언락 / NNG,락폰 / Noun,락폰 / Noun
6+ / N,홈 / NNG,에서 / JKB,폰 / NNG,질러 / Verb,질러 / Verb
128기가실벜 / N,에서 / JKM,언 / NNG,질러 / VV+EC,버렸다 / Verb,버렸다 / Verb
